Searching for any hub with Pybricks service...
battery mV: 7429
slide probe: 2s still / 8s slide / 2s still per rep, 2 reps
D,i,pitch_x100,rate_x10,acc_mm_s2
D , 614 , -126 , 250 , 258
D , 615 , -103 , 201 , 560
D , 616 , -84 , 139 , 983
D , 617 , -75 , 48 , 943
D , 618 , -75 , -20 , 727
D , 619 , -80 , -80 , 423
D , 620 , -89 , -86 , 198
D , 621 , -99 , -94 , 102
D , 622 , -107 , -92 , -225
D , 623 , -115 , -72 , -387
D , 624 , -121 , -51 , -143
D , 625 , -126 , -47 , -368
D , 626 , -129 , -18 , -816
D , 627 , -128 , 55 , -426
D , 628 , -122 , 65 , 23
D , 629 , -118 , 26 , -1026
D , 630 , -113 , 73 , -354
D , 631 , -107 , 44 , 76
D , 632 , -104 , 0 , -495
D , 633 , -103 , 42 , -809
D , 634 , -100 , 12 , 581
D , 635 , -103 , -49 , -1259
D , 636 , -105 , 6 , -1084
D , 637 , -103 , 5 , 380
D , 638 , -106 , -53 , -1026
D , 639 , -108 , 7 , -1515
D , 640 , -105 , 12 , -134
D , 641 , -108 , -44 , -619
D , 642 , -110 , 8 , -1378
D , 643 , -107 , 28 , -421
D , 644 , -108 , -53 , -684
D , 645 , -112 , -8 , -1575
D , 646 , -110 , 42 , -1062
D , 647 , -108 , -6 , -361
D , 648 , -111 , -48 , -1132
D , 649 , -115 , -26 , -1603
D , 650 , -118 , -31 , -732
D , 651 , -124 , -78 , -880
D , 652 , -131 , -71 , -1615
D , 653 , -134 , -1 , -1773
D , 654 , -133 , 20 , -1275
D , 655 , -132 , -13 , -1227
D , 656 , -134 , -25 , -1603
D , 657 , -137 , -32 , -1603
D , 658 , -141 , -33 , -2111
D , 659 , -144 , -23 , -1876
D , 660 , -146 , -27 , -1780
D , 661 , -149 , -38 , -1859
D , 662 , -154 , -57 , -1984
D , 663 , -159 , -35 , -2185
D , 664 , -162 , -22 , -2075
D , 665 , -165 , -32 , -2072
D , 666 , -167 , -13 , -2139
D , 667 , -166 , 15 , -2032
D , 668 , -163 , 33 , -1895
D , 669 , -160 , 42 , -1948
D , 670 , -155 , 54 , -1902
D , 671 , -149 , 77 , -1773
D , 672 , -138 , 138 , -1898
D , 673 , -120 , 198 , -1747
D , 674 , -96 , 286 , -1548
D , 675 , -64 , 355 , -1103
D , 676 , -28 , 378 , -406
D , 677 , 10 , 319 , 347
D , 678 , 35 , 201 , 531
D , 679 , 48 , 64 , 643
D , 680 , 46 , -72 , -28
D , 681 , 35 , -141 , -763
D , 682 , 17 , -176 , -770
D , 683 , 0 , -181 , -715
D , 684 , -18 , -196 , -1122
D , 685 , -36 , -168 , -1584
